codeCI,codeCH,libelleCI,XLambert93,YLambert93
597120	,	BA	,	Argenton-sur-Creuse	,"	584969,028	","	6613345,552"
142091	,	AO	,	Langres	,"	874540,798	","	6756124,407"
142091	,	P1	,	Langres	,"	873535,29	","	6757536,499"
393314	,	BV	,	Rambouillet	,"	613910,128	","	6838766,155"
393314	,	FI	,	Rambouillet	,"	614097,692	","	6838928,329"
583005	,	FP	,	Angoulême	,"	479294,284	","	6510085,164"
583005	,	T0	,	Angoulême	,"	478877,572	","	6509713,815"
726158	,	ST	,	St-Étienne-La Terrasse	,"	808270,459	","	6485360,997"
313049	,	RP	,	Longueau	,"	653647,945	","	6975613,132"
313049	,	MA	,	Longueau	,"	652703,226	","	6975207,459"
401968	,	AS	,	ITE CAAT	,"	1020506,412	","	6284246,297"
191999	,	W5	,	Bettembourg	,"	929695,384	","	6915574,119"
191999	,	W4	,	Bettembourg	,"	927489,887	","	6925141,848"
286013	,	GD	,	Lille-Délivrance	,"	700112,029	","	7059669,363"
756056	,	T4	,	Nice-Ville	,"	1042718,266	","	6298329,607"
581827	,	CM	,	Bordeaux-Hourcade-Triage	,"	495320,77	","	6566572,619"
581827	,	VC	,	Bordeaux-Hourcade-Triage	,"	419117,491	","	6416140,524"
581827	,	FO	,	Bordeaux-Hourcade-Triage	,"	419206,84	","	6414860,54"
581827	,	FE	,	Bordeaux-Hourcade-Triage	,"	419206,84	","	6414860,54"
611772	,	00	,	Gimont-Cahuzac	,"	527886,862	","	6283885,227"
184366	,	BV	,	Beaucourt	,"	993624,78	","	6717190,669"
387241	,	EP	,	Breteuil	,"	547902,667	","	6861151,119"
345025	,	BV	,	Lens	,"	687704,801	","	7036618,496"
781062	,	EP	,	Port-la-Nouvelle	,"	703090,011	","	6208602,86"
118315	,	S1	,	Clairvaux	,"	832705,972	","	6787602,801"
275990	,	JS	,	Le Petit-Thérain	,"	658867,452	","	6903615,529"
275990	,	AT	,	Le Petit-Thérain	,"	659448,729	","	6904565,32"
342014	,	G1	,	Arras	,"	683928,018	","	7020545,827"
342014	,	P2	,	Arras	,"	683530,511	","	7020243,876"
342014	,	BS	,	Arras	,"	683234,511	","	7017301,071"
212316	,	BV	,	La Wantzenau	,"	1055112,103	","	6851428,604"
491449	,	FP	,	Cognac	,"	441394,658	","	6514973,912"
682005	,	CS	,	Melun	,"	674754,357	","	6825170,142"
387001	,	BV	,	Evreux-Embranchement	,"	564723,11	","	6881415,744"
296442	,	DT	,	Tergnier	,"	721178,103	","	6952582,958"
296442	,	TR	,	Tergnier	,"	721371,72	","	6951961,646"
296442	,	EM	,	Tergnier	,"	721386,703	","	6950916,824"
715136	,	PS	,	Frasne	,"	941115,677	","	6644726,64"
765479	,	00	,	L'Isle-Fontaine-de-Vaucluse	,"	864443,885	","	6315261,636"
393579	,	FI	,	Massy-Palaiseau-Grande-Ceintur	,"	651932,045	","	6841515,59"
286039	,	CV	,	Lille-St-Sauveur	,"	707146,416	","	7056903,538"
286039	,	24	,	Lille-St-Sauveur	,"	706388,148	","	7057573,589"
641167	,	EP	,	Les Ancizes-St-Georges	,"	688016,502	","	6536109,295"
444539	,	C1	,	Argentan	,"	478223,894	","	6851791,759"
772335	,	13	,	Poste 13 Cuy	,"	720968,09	","	6796148,158"
718858	,	00	,	Chatelay-Chissey	,"	905263,76	","	6662412,617"
141218	,	22	,	Bayon	,"	947000,711	","	6823839,203"
762088	,	00	,	Palasca	,"	1196593,765	","	6184933,384"
386466	,	EV	,	Achères-Triage	,"	632248,473	","	6878779,616"
386466	,	19	,	Achères-Triage	,"	635006,002	","	6873741,121"
543017	,	DP	,	Les Aubrais-Orléans	,"	617996,217	","	6760240,439"
543017	,	RT	,	Les Aubrais-Orléans	,"	617676,017	","	6758014,078"
543017	,	P6	,	Les Aubrais-Orléans	,"	618105,799	","	6759772,591"
743005	,	P1	,	Bourg-en-Bresse	,"	870706,228	","	6569310,04"
743005	,	RF	,	Bourg-en-Bresse	,"	870878,883	","	6568607,519"
743005	,	P2	,	Bourg-en-Bresse	,"	870866,981	","	6568658,663"
413013	,	FA	,	Le Havre	,"	500033,698	","	6934751,41"
413013	,	SO	,	Le Havre	,"	495845,034	","	6936902,079"
413013	,	BQ	,	Le Havre	,"	496732,04	","	6937776,016"
413013	,	GL	,	Le Havre	,"	502534,302	","	6934119,384"
413013	,	82	,	Le Havre	,"	500600,53	","	6931923,698"
773200	,	BF	,	Sète	,"	759789,291	","	6258338,728"
386656	,	OT	,	Vernouillet-Verneuil	,"	623290,811	","	6877571,097"
386656	,	TR	,	Vernouillet-Verneuil	,"	625531,707	","	6876231,789"
386656	,	BV	,	Vernouillet-Verneuil	,"	625567,483	","	6876193,984"
584748	,	RE	,	La Grave-d'Ambarès-Gare-Supéri	,"	426003,455	","	6431960,383"
584748	,	BV	,	La Grave-d'Ambarès-Gare-Supéri	,"	426198,266	","	6432188,652"
721472	,	00	,	Tarare	,"	811615,665	","	6533238,98"
213686	,	00	,	Hoerdt	,"	1051527,873	","	6855415,366"
144014	,	PB	,	St-Dié	,"	991951,283	","	6805478,913"
212092	,	RM	,	Hausbergen-Triage	,"	958627,672	","	6837754,106"
212092	,	Q5	,	Hausbergen-Triage	,"	1047789,449	","	6847580,58"
212092	,	A3	,	Hausbergen-Triage	,"	1047944,462	","	6846612,883"
212092	,	FF	,	Hausbergen-Triage	,"	1047979,7	","	6846382,981"
645267	,	00	,	Mauriac	,"	648590,046	","	6458290,637"
393223	,	BG	,	St-Cyr	,"	630569,49	","	6855981,618"
723197	,	AS	,	Lyon-Part-Dieu	,"	844586,731	","	6519277,141"
723197	,	ES	,	Lyon-Part-Dieu	,"	843548,073	","	6525321,757"
743328	,	A1	,	Villereversure	,"	884396,312	","	6568642,967"
743328	,	A2	,	Villereversure	,"	885006,116	","	6568964,259"
175067	,	V4	,	Nançois-Tronville	,"	867980,03	","	6849538,371"
393702	,	BV	,	Massy-TGV	,"	645805,365	","	6847707,112"
753681	,	IT	,	St-Martin-de-Crau	,"	845397,128	","	6281991,914"
753681	,	4G	,	St-Martin-de-Crau	,"	845581,494	","	6281937,877"
753681	,	EP	,	St-Martin-de-Crau	,"	851904,327	","	6280086,686"
116012	,	BV	,	Gretz-Armainvilliers	,"	680057,221	","	6849490,845"
485227	,	BV	,	Surgères	,"	409554,831	","	6563981,891"
271387	,	NA	,	Valenton	,"	664135,687	","	6854864,864"
271387	,	81	,	Valenton	,"	659298,525	","	6850875,62"
271387	,	SA	,	Valenton	,"	663798,344	","	6853816,414"
545244	,	MV	,	Juvisy	,"	655755,781	","	6845106,012"
545244	,	PO	,	Juvisy	,"	654793,672	","	6843797,468"
545244	,	AN	,	Juvisy	,"	654766,123	","	6843690,652"
545244	,	FR	,	Juvisy	,"	655406,217	","	6844798,08"
545244	,	AD	,	Juvisy	,"	656916,82	","	6846762,82"
287037	,	A1	,	Dunkerque-Grande-Synthe	,"	651664,102	","	7100962,594"
286005	,	J6	,	Lille-Flandres	,"	706380,117	","	7058405,409"
286005	,	ES	,	Lille-Flandres	,"	705678,803	","	7059594,077"
286005	,	GP	,	Lille-Flandres	,"	705963,879	","	7059159,126"
286005	,	J1	,	Lille-Flandres	,"	705904,511	","	7059174,588"
286005	,	J3	,	Lille-Flandres	,"	706354,504	","	7058131,596"
725689	,	CH	,	Mâcon-Ville	,"	840846,077	","	6580513,24"
725689	,	PV	,	Mâcon-Ville	,"	840790,247	","	6580401,42"
586776	,	RF	,	Casteljaloux	,"	467129,574	","	6361553,428"
586776	,	LO	,	Casteljaloux	,"	467129,574	","	6361553,428"
713875	,	HA	,	Perrigny-Triage	,"	853521,109	","	6691363,023"
713875	,	RP	,	Perrigny-Triage	,"	854535,804	","	6688335,344"
713875	,	ES	,	Perrigny-Triage	,"	853277,746	","	6690653,449"
713875	,	BK	,	Perrigny-Triage	,"	853445,236	","	6691626,351"
381004	,	VA	,	Paris-Batignolles	,"	649361,443	","	6865917,306"
381004	,	FC	,	Paris-Batignolles	,"	649477,103	","	6865814,687"
381004	,	79	,	Paris-Batignolles	,"	649784,633	","	6865501,465"
381004	,	FO	,	Paris-Batignolles	,"	649528,261	","	6865769,298"
674960	,	BM	,	Poste 53 Maillé	,"	515151,347	","	6660713,525"
313874	,	J2	,	Amiens	,"	650880,587	","	6976963,894"
313874	,	RA	,	Amiens	,"	651521,232	","	6976794,108"
545004	,	S7	,	Paris-Tolbiac	,"	655478,528	","	6857055,033"
286724	,	PX	,	Lille-Sud	,"	704347,984	","	7057639,121"
286724	,	GA	,	Lille-Sud	,"	703944,149	","	7057720,565"
713578	,	RN	,	Chagny	,"	832372,741	","	6647938,974"
313544	,	00	,	Cramoisy	,"	656679,745	","	6906483,103"
761403	,	NS	,	Peyraud	,"	840832,938	","	6468099,59"
575001	,	BV	,	Poitiers	,"	495799,894	","	6612596,168"
118752	,	RF	,	Brienne-le-Château	,"	813374,555	","	6810944,999"
611038	,	29	,	Muret	,"	563725,95	","	6263225,549"
672220	,	BV	,	Lacq	,"	406171,924	","	6263730,128"
343004	,	BV	,	Valenciennes	,"	736750,059	","	7029367,116"
723353	,	BV	,	St-Priest	,"	850599,774	","	6511472,016"
172254	,	AG	,	Sedan	,"	838694,183	","	6957245,486"
722439	,	BV	,	Givors-Canal	,"	838173,393	","	6501167,894"
296152	,	C1	,	Crépy-Couvron	,"	736415,215	","	6947953,079"
476440	,	BV	,	St-Pierre-Quiberon	,"	238505,054	","	6731345,722"
182006	,	PE	,	Mulhouse-Nord	,"	1026768,255	","	6749125,915"
576868	,	IM	,	Selles-sur-Cher	,"	589892,754	","	6687891,969"
641795	,	00	,	Lignerolles (Allier)	,"	667317,474	","	6575460,702"
172338	,	2B	,	Pouru-Brévilly	,"	848858,64	","	6954557,356"
276899	,	EP	,	Vic-sur-Aisne	,"	708261,724	","	6921899,524"
276022	,	00	,	Enghien-les-Bains	,"	649226,475	","	6875033,13"
223263	,	VR	,	Lille-Europe	,"	705606,77	","	7059757,787"
584755	,	00	,	La Gorp	,"	424227,687	","	6431611,483"
713412	,	RF	,	Dole-Ville	,"	888213,707	","	6669434,828"
726794	,	00	,	Beauzac	,"	785908,697	","	6460213,722"
481002	,	SE	,	Nantes	,"	357017,361	","	6689072,468"
118000	,	PU	,	Troyes	,"	780658,27	","	6797796,69"
118000	,	BB	,	Troyes	,"	776536,364	","	6803898,425"
171009	,	S8	,	Reims	,"	774983,158	","	6910893,223"
171009	,	BV	,	Reims	,"	774556,535	","	6907084,862"
171009	,	C2	,	Reims	,"	775152,646	","	6909951,457"
411447	,	98	,	Longuerue-Vieux-Manoir	,"	574199,235	","	6939265,669"
116293	,	SM	,	Vaires-Torcy	,"	958627,672	","	6837754,106"
116293	,	FV	,	Vaires-Torcy	,"	672703,738	","	6863935,492"
673673	,	00	,	Louhossoa	,"	346025,719	","	6254949,046"
271312	,	DT	,	Le Bourget-Triage	,"	658740,924	","	6870424,996"
271312	,	GP	,	Le Bourget-Triage	,"	662478,667	","	6870370,56"
271312	,	BM	,	Le Bourget-Triage	,"	656960,196	","	6869996,948"
313189	,	RF	,	Doullens	,"	652847,588	","	7007102,926"
592006	,	BV	,	Limoges-Bénédictins	,"	565871,682	","	6528160,496"
592006	,	94	,	Limoges-Bénédictins	,"	566402,078	","	6528576,144"
592006	,	PK	,	Limoges-Bénédictins	,"	564839,138	","	6526514,827"
681809	,	11	,	Villeneuve-St-Georges-Triage	,"	659017,495	","	6849083,387"
681809	,	AT	,	Villeneuve-St-Georges-Triage	,"	658842,003	","	6849325,331"
586149	,	PA	,	Colayrac	,"	503910,104	","	6350993,796"
611020	,	BF	,	Empalot	,"	572947,881	","	6275757,542"
486126	,	46	,	L'Herbergement-Les Brouzils	,"	368765,047	","	6656275,776"
486126	,	C5	,	L'Herbergement-Les Brouzils	,"	367072,265	","	6653868,912"
394296	,	BV	,	Nogent-le-Rotrou	,"	537658,347	","	6804983,087"
141085	,	PC	,	Champigneulles	,"	932733,538	","	6853324,542"
694497	,	EP	,	Liernais	,"	796007,408	","	6679214,392"
694497	,	BV	,	Liernais	,"	795905,127	","	6680033,586"
444000	,	BS	,	Caen	,"	465193,681	","	6896339,251"
753004	,	SC	,	Miramas	,"	859039,142	","	6277884,709"
753004	,	FD	,	Miramas	,"	860668,715	","	6277754,401"
753004	,	AR	,	Miramas	,"	867399,615	","	6272138,146"
444265	,	CI	,	Lisieux	,"	524700,72	","	6890163,289"
444265	,	JS	,	Lisieux	,"	498643,991	","	6896150,279"
444265	,	S3	,	Lisieux	,"	496214,523	","	6912963,716"
444265	,	EB	,	Lisieux	,"	524768,545	","	6890184,244"
723320	,	BV	,	Vénissieux-Voyageurs	,"	846957,671	","	6513450,835"
723320	,	DP	,	Vénissieux-Voyageurs	,"	843791,202	","	6515367,533"
753459	,	TI	,	Port-de-Bouc	,"	860201,546	","	6258870,642"
772343	,	00	,	Poste 14 Vaumort	,"	733453,311	","	6779608,793"
611095	,	BF	,	Boussens	,"	534377,003	","	6231045,641"
728006	,	7P	,	Lyon-Guillotière	,"	843791,417	","	6515035,685"
728006	,	KM	,	Lyon-Guillotière	,"	843739,778	","	6516041,15"
728006	,	SP	,	Lyon-Guillotière	,"	842865,881	","	6517869,822"
728006	,	74	,	Lyon-Guillotière	,"	843430,881	","	6517728,145"
726133	,	FT	,	St-Étienne-Pont-de-l'Âne	,"	813157,053	","	6482767,925"
345520	,	P1	,	Cambrai Ville	,"	718607,381	","	7007667,044"
174250	,	00	,	Loisy-sur-Marne	,"	813231,854	","	6852107,683"
713198	,	SS	,	Tonnerre	,"	775528,373	","	6750884,516"
860833	,	CH	,	Calvi	,"	1173735,325	","	6179115,044"
140277	,	00	,	ITE Rhône-Poulenc	,"	844123,359	","	6512110,859"
387001	,	RF	,	Évreux-Embranchement	,"	565057,623	","	6881526,577"
387001	,	JS	,	Évreux-Embranchement	,"	564117,447	","	6881277,98"
215087	,	BF	,	Brouviller-Lixheim	,"	1004958,051	","	6859887,984"
